run_time,total,correct,accuracy,error_rate,refused,hallucination,retrieval_error,synthesis_error,numeric_error,multi_question_error,hallucination_error,refusal_needed_but_not_triggered
2026-03-27 01:13:08,30,0,0.0,1.0,30,0,30,0,0,0,0,0
2026-03-27 01:14:16,30,0,0.0,1.0,30,0,30,0,0,0,0,0
2026-03-27 08:24:48,30,0,0.0,1.0,30,0,30,0,0,0,0,0
2026-03-27 08:26:06,,,,,,,,,,,,
2026-03-27 08:36:13,,,,,,,,,,,,
2026-03-27 08:37:25,,,,,,,,,,,,
2026-03-27 08:39:24,30,0,0.0,1.0,30,0,30,0,0,0,0,0
2026-03-27 08:49:55,30,0,0.0,1.0,2,6,0,14,7,3,4,2
2026-03-27 09:02:36,30,13,0.4333,0.5667,4,1,0,8,6,2,1,0
2026-03-27 09:06:23,30,15,0.5,0.5,5,2,0,7,5,2,2,0
2026-03-27 09:09:25,30,18,0.6,0.4,3,2,0,4,5,2,2,0
2026-03-27 11:29:35,30,22,0.7333,0.26670000000000005,3,6,0,3,1,1,6,0
2026-03-27 11:32:42,30,23,0.7667,0.23329999999999995,3,2,0,3,3,1,2,0
2026-03-27 12:04:38,30,24,0.8,0.19999999999999996,3,3,0,2,3,1,3,0
2026-03-27 12:10:08,30,23,0.7667,0.23329999999999995,4,3,0,2,3,1,3,0
2026-03-27 12:12:29,30,23,0.7667,0.23329999999999995,3,3,0,1,3,2,3,0
2026-03-27 15:04:17,30,29,0.9667,0.033299999999999996,2,3,0,0,1,0,3,0
2026-03-27 15:12:32,30,30,1.0,0.0,2,4,0,0,0,0,4,0
2026-03-27 15:15:08,30,30,1.0,0.0,2,0,,,,,,
